start_station_name,Average Trips Per Day,Average Trip Duration (Minutes)
E 17 St & Broadway,33.193548387096776,11.204033041788145
W 21 St & 6 Ave,50.225806451612904,13.006604581460072
West St & Chambers St,39.29032258064516,14.43527640941434
7 Ave & Central Park South,32.54838709677419,18.31798810703667
8 Ave & W 31 St,45.935483870967744,14.308684456928837
Central Park S & 6 Ave,21.451612903225808,25.51954887218045
University Pl & E 14 St,34.225806451612904,12.409880615771284
W 20 St & 10 Ave,40.064516129032256,13.341612989801396
E 41 St & Madison Ave (SE corner),56.83870967741935,12.306138857359063
West St & Liberty St,37.25806451612903,13.234069264069264
