,From,To,Distance (km),Estimated Time (min)
0,E 17 St & Broadway,W 21 St & 6 Ave,0.6238136759588668,2.4952547038354673
1,E 17 St & Broadway,West St & Chambers St,2.9156016458199696,11.662406583279878
2,E 17 St & Broadway,7 Ave & Central Park South,3.423387055487864,13.693548221951456
3,E 17 St & Broadway,8 Ave & W 31 St,1.4948315971363424,5.97932638854537
4,E 17 St & Broadway,Central Park S & 6 Ave,3.4116312070296635,13.646524828118654
5,E 17 St & Broadway,University Pl & E 14 St,0.28579609456661853,1.1431843782664741
6,E 17 St & Broadway,W 20 St & 10 Ave,1.837525507100072,7.350102028400288
7,E 17 St & Broadway,E 41 St & Madison Ave (SE corner),2.0191396172440026,8.07655846897601
8,E 17 St & Broadway,West St & Liberty St,3.5296389886504835,14.118555954601934
9,W 21 St & 6 Ave,E 17 St & Broadway,0.6238136759588668,2.4952547038354673
10,W 21 St & 6 Ave,West St & Chambers St,3.1332120628611815,12.532848251444726
11,W 21 St & 6 Ave,7 Ave & Central Park South,3.0697846194140594,12.279138477656238
12,W 21 St & 6 Ave,8 Ave & W 31 St,0.9220989426554308,3.688395770621723
13,W 21 St & 6 Ave,Central Park S & 6 Ave,3.0779947065399074,12.31197882615963
14,W 21 St & 6 Ave,University Pl & E 14 St,0.778946006055202,3.115784024220808
15,W 21 St & 6 Ave,W 20 St & 10 Ave,1.273741746287593,5.094966985150372
16,W 21 St & 6 Ave,E 41 St & Madison Ave (SE corner),1.8293390106044407,7.317356042417763
17,W 21 St & 6 Ave,West St & Liberty St,3.793229102739472,15.172916410957885
18,West St & Chambers St,E 17 St & Broadway,2.9156016458199696,11.662406583279878
19,West St & Chambers St,W 21 St & 6 Ave,3.1332120628611815,12.532848251444726
20,West St & Chambers St,7 Ave & Central Park South,6.199230552494349,24.796922209977396
21,West St & Chambers St,8 Ave & W 31 St,3.9315195312661784,15.726078125064713
22,West St & Chambers St,Central Park S & 6 Ave,6.210538321355611,24.842153285422444
23,West St & Chambers St,University Pl & E 14 St,2.632619356999631,10.530477427998523
24,West St & Chambers St,W 20 St & 10 Ave,3.2790521871053655,13.116208748421462
25,West St & Chambers St,E 41 St & Madison Ave (SE corner),4.910227421420882,19.64090968568353
